,time,fights_f1,win_proportion_f2,height_diff,reach_diff,outcome
2896,70,2.0,0.5,0.0,-2.0,0.0
2897,300,3.0,0.5,2.0,-3.0,1.0
2898,206,5.0,1.0,2.0,0.0,1.0
2899,300,6.0,0.4,2.0,6.0,1.0
2900,300,3.0,0.4,1.0,4.0,0.0
2901,300,13.0,0.4,1.0,4.0,0.0
2902,300,10.0,0.4,5.0,5.0,0.0
2903,300,7.0,0.4,1.0,2.0,1.0
2904,300,7.0,0.75,-3.0,0.0,1.0
2905,146,2.0,0.75,-3.0,-5.0,0.0
2906,142,3.0,0.75,4.0,5.0,1.0
2907,300,14.0,0.75,-6.0,-5.0,1.0
2908,300,4.0,0.5,5.0,6.0,1.0
2909,130,5.0,0.5,0.0,0.0,0.0
2910,300,11.0,0.3333333333333333,-2.0,3.0,1.0
2911,161,4.0,0.3333333333333333,-1.0,0.0,0.0
2912,300,11.0,0.3333333333333333,-4.0,-4.0,0.0
2913,300,3.0,0.5,3.0,4.0,1.0
2914,169,6.0,0.5,0.0,-1.0,1.0
2915,300,12.0,0.5,1.0,1.0,0.0
2916,300,9.0,0.5,-1.0,3.0,1.0
2917,300,6.0,0.5,-2.0,-1.0,0.0
2918,163,4.0,0.5,-1.0,-2.0,0.0
2919,300,8.0,0.5,-1.0,0.0,1.0
2920,139,12.0,0.5,-1.0,2.0,1.0
2921,49,6.0,0.5,-2.0,-5.0,0.0
2922,214,9.0,0.5,-1.0,3.0,0.0
2923,136,5.0,0.5,-1.0,-1.0,0.0
2924,300,3.0,0.5,-1.0,-2.0,1.0
2925,300,13.0,0.25,-2.0,-3.0,0.0
2926,300,6.0,0.25,-1.0,-1.0,1.0
2927,246,7.0,0.25,-2.0,-5.0,0.0
2928,143,10.0,0.25,2.0,-2.0,0.0
2929,300,9.0,0.6666666666666666,3.0,3.0,1.0
2930,300,12.0,0.6666666666666666,2.0,1.0,1.0
2931,300,7.0,0.6666666666666666,6.0,5.0,0.0
2932,300,4.0,0.0,-5.0,-10.0,0.0
2933,60,11.0,0.2857142857142857,1.0,2.0,1.0
2934,300,2.0,0.2857142857142857,1.0,1.0,0.0
2935,300,9.0,0.2857142857142857,1.0,1.0,0.0
2936,300,8.0,0.2857142857142857,0.0,1.0,0.0
2937,300,3.0,0.2857142857142857,0.0,3.0,1.0
2938,300,9.0,0.2857142857142857,1.0,3.0,0.0
2939,300,4.0,0.2857142857142857,3.0,3.0,0.0
2940,178,5.0,0.75,-1.0,-5.0,1.0
2941,300,4.0,0.75,-1.0,0.0,0.0
2942,234,6.0,0.75,2.0,1.0,1.0
2943,174,12.0,0.75,2.0,-2.0,1.0
2944,85,1.0,0.0,4.0,7.0,0.0
2945,300,4.0,0.3333333333333333,0.0,-2.0,1.0
2946,300,3.0,0.3333333333333333,1.0,-1.0,0.0
2947,300,9.0,0.3333333333333333,-4.0,-7.0,0.0
2948,300,6.0,0.5,-1.0,0.0,1.0
2949,271,7.0,0.5,1.0,6.0,1.0
2950,114,4.0,0.5,2.0,1.0,0.0
2951,204,1.0,0.5,1.0,0.0,0.0
2952,300,14.0,0.6666666666666666,0.0,-1.0,1.0
2953,300,5.0,0.6666666666666666,1.0,2.0,1.0
2954,300,6.0,0.6666666666666666,1.0,-1.0,0.0
2955,188,7.0,0.375,1.0,1.0,0.0
2956,300,8.0,0.375,-1.0,1.0,0.0
2957,300,8.0,0.375,-3.0,-1.0,0.0
2958,300,4.0,0.375,0.0,-2.0,1.0
2959,300,8.0,0.375,3.0,1.0,1.0
2960,300,4.0,0.375,-2.0,-4.0,0.0
2961,300,8.0,0.375,-1.0,1.0,1.0
2962,118,8.0,0.375,-4.0,-5.0,0.0
2963,300,8.0,0.6363636363636364,-1.0,-4.0,1.0
2964,299,4.0,0.6363636363636364,-3.0,-4.0,1.0
2965,298,24.0,0.6363636363636364,3.0,-2.0,1.0
2966,122,13.0,0.6363636363636364,1.0,1.0,0.0
2967,121,11.0,0.6363636363636364,2.0,-1.0,0.0
2968,300,18.0,0.6363636363636364,-1.0,-5.0,1.0
2969,300,14.0,0.6363636363636364,-2.0,-7.0,0.0
2970,158,21.0,0.6363636363636364,-1.0,-3.0,1.0
2971,277,4.0,0.6363636363636364,0.0,-3.0,0.0
2972,198,27.0,0.6363636363636364,-2.0,-4.0,1.0
2973,152,8.0,0.6363636363636364,-2.0,-2.0,1.0
2974,300,7.0,1.0,-3.0,-4.0,1.0
2975,300,2.0,1.0,0.0,0.0,1.0
2976,42,4.0,1.0,-7.0,-3.0,1.0
2977,66,9.0,0.3333333333333333,0.0,3.0,1.0
2978,71,8.0,0.3333333333333333,0.0,6.0,1.0
2979,118,20.0,0.3333333333333333,-1.0,2.0,0.0
2980,300,9.0,0.3333333333333333,0.0,1.0,0.0
2981,300,1.0,0.3333333333333333,-2.0,3.0,0.0
2982,300,11.0,0.3333333333333333,-4.0,-4.0,0.0
2983,300,13.0,0.14285714285714285,-5.0,-5.0,0.0
2984,300,14.0,0.14285714285714285,-3.0,-3.0,0.0
2985,56,12.0,0.14285714285714285,1.0,0.0,0.0
2986,80,11.0,0.14285714285714285,-3.0,-3.0,0.0
2987,177,27.0,0.14285714285714285,-5.0,-4.0,0.0
2988,134,15.0,0.14285714285714285,-3.0,-4.0,1.0
2989,101,3.0,0.14285714285714285,-1.0,-4.0,0.0
2990,300,1.0,0.5,4.0,3.0,1.0
2991,193,2.0,0.5,0.0,-4.0,0.0
2992,300,8.0,0.35714285714285715,0.0,2.0,1.0
2993,131,10.0,0.35714285714285715,2.0,6.0,1.0
2994,300,8.0,0.35714285714285715,1.0,1.0,0.0
2995,79,10.0,0.35714285714285715,1.0,2.0,0.0
2996,300,5.0,0.35714285714285715,-3.0,-1.0,0.0
2997,300,9.0,0.35714285714285715,-2.0,-2.0,1.0
2998,300,4.0,0.35714285714285715,0.0,1.0,0.0
2999,300,1.0,0.35714285714285715,-2.0,-1.0,0.0
3000,300,6.0,0.35714285714285715,2.0,2.0,1.0
3001,300,6.0,0.35714285714285715,0.0,7.0,1.0
3003,300,5.0,0.35714285714285715,-2.0,0.0,0.0
3004,300,2.0,0.35714285714285715,3.0,5.0,0.0
3005,300,2.0,0.35714285714285715,1.0,2.0,0.0
3006,106,11.0,0.125,1.0,-2.0,0.0
3007,300,8.0,0.125,0.0,-1.0,0.0
3008,300,8.0,0.125,-1.0,-1.0,0.0
3009,118,8.0,0.125,0.0,-6.0,0.0
3010,300,8.0,0.125,0.0,-4.0,0.0
3011,225,21.0,0.125,0.0,-2.0,1.0
3012,113,9.0,0.125,2.0,1.0,0.0
3013,38,3.0,0.125,3.0,-3.0,0.0
3014,300,6.0,0.5,3.0,1.0,1.0
3015,300,3.0,0.5,-1.0,-2.0,0.0
3016,300,3.0,1.0,4.0,2.0,1.0
3017,43,4.0,1.0,1.0,0.0,1.0
3018,300,12.0,1.0,0.0,1.0,1.0
3019,90,6.0,0.5,1.0,4.0,1.0
3020,300,14.0,0.5,1.0,4.0,1.0
3021,300,13.0,0.5,1.0,5.0,0.0
3022,286,24.0,0.5,3.0,2.0,1.0
3023,300,5.0,0.5,1.0,-1.0,0.0
3024,300,10.0,0.5,2.0,2.0,1.0
3025,65,13.0,0.5,-1.0,0.0,0.0
3026,300,8.0,0.5,2.0,2.0,1.0
3027,280,10.0,0.5,3.0,3.0,0.0
3028,218,3.0,0.5,5.0,6.0,0.0
3029,300,2.0,0.25,-1.0,-1.0,0.0
3030,300,9.0,0.25,0.0,1.0,0.0
3031,300,5.0,0.25,-2.0,0.0,0.0
3032,300,8.0,0.25,1.0,3.0,0.0
3033,183,9.0,0.25,-1.0,0.0,1.0
3034,300,5.0,0.25,0.0,0.0,0.0
3035,276,10.0,0.25,-1.0,-1.0,1.0
3037,295,17.0,0.5555555555555556,-2.0,-2.0,1.0
3038,92,3.0,0.5555555555555556,-2.0,-3.0,1.0
3039,282,8.0,0.5555555555555556,-2.0,-5.0,1.0
3040,116,13.0,0.5555555555555556,-5.0,-6.0,0.0
3041,149,4.0,0.5555555555555556,-2.0,-2.0,1.0
3042,300,17.0,0.5555555555555556,-3.0,-2.0,0.0
3043,74,9.0,0.5555555555555556,-3.0,-2.0,1.0
3044,300,4.0,0.5555555555555556,-4.0,-3.0,0.0
3045,57,2.0,0.5555555555555556,-2.0,-7.0,0.0
3046,274,7.0,1.0,8.0,5.0,1.0
3047,175,7.0,1.0,2.0,1.0,1.0
3048,300,3.0,1.0,7.0,4.0,1.0
3049,197,7.0,1.0,-1.0,-4.0,1.0
3050,266,5.0,1.0,0.0,-3.0,1.0
3051,295,5.0,1.0,1.0,1.0,1.0
3052,297,14.0,0.42857142857142855,7.0,6.0,0.0
3053,300,20.0,0.42857142857142855,-1.0,-1.0,1.0
3054,300,3.0,0.42857142857142855,-5.0,-5.0,1.0
3055,228,3.0,0.42857142857142855,-1.0,0.0,0.0
3056,139,14.0,0.42857142857142855,0.0,2.0,0.0
3057,61,7.0,0.42857142857142855,-2.0,-2.0,1.0
3058,70,6.0,0.42857142857142855,0.0,0.0,0.0
3059,198,4.0,1.0,1.0,-2.0,1.0
3060,300,4.0,0.5,-1.0,2.0,1.0
3061,291,6.0,0.5,0.0,4.0,1.0
3062,228,3.0,0.5,2.0,5.0,0.0
3063,300,7.0,0.5,-4.0,2.0,1.0
3064,300,10.0,0.5,3.0,5.0,0.0
3065,105,4.0,0.5,-2.0,2.0,0.0
3066,249,4.0,0.75,-1.0,0.0,1.0
3067,300,8.0,0.75,-2.0,0.0,1.0
3068,300,6.0,0.75,-2.0,-1.0,1.0
3069,300,5.0,0.75,-2.0,-1.0,0.0
3070,31,3.0,0.75,-2.0,-2.0,1.0
3072,45,9.0,0.75,-2.0,3.0,1.0
3073,300,9.0,0.75,-2.0,2.0,1.0
3077,300,6.0,1.0,3.0,3.0,1.0
3078,300,1.0,0.0,0.0,0.0,0.0
3079,300,2.0,0.6666666666666666,2.0,2.0,1.0
3080,300,11.0,0.6666666666666666,2.0,1.0,0.0
3081,300,7.0,0.6666666666666666,3.0,1.0,1.0
3082,123,3.0,0.5,-2.0,-1.0,1.0
3083,300,1.0,0.5,-4.0,-1.0,0.0
3084,145,1.0,0.5,-2.0,1.0,0.0
3085,300,7.0,0.5,-3.0,-3.0,1.0
3086,234,20.0,0.6666666666666666,2.0,-1.0,1.0
3087,5,8.0,0.6666666666666666,0.0,1.0,1.0
3088,200,9.0,0.6666666666666666,0.0,1.0,0.0
3089,300,17.0,0.2,0.0,3.0,0.0
3090,300,15.0,0.2,0.0,1.0,0.0
3091,300,16.0,0.2,-2.0,-1.0,0.0
3092,300,4.0,0.2,1.0,4.0,1.0
3094,300,6.0,0.3333333333333333,-1.0,-2.0,1.0
3095,300,4.0,0.3333333333333333,2.0,2.0,0.0
3097,300,6.0,0.5625,2.0,0.0,1.0
3098,259,6.0,0.5625,-2.0,-1.0,1.0
3099,95,9.0,0.5625,-3.0,-1.0,0.0
3100,300,12.0,0.5625,-3.0,-3.0,1.0
3102,300,10.0,0.5625,2.0,-2.0,1.0
3103,32,14.0,0.5625,-3.0,-5.0,0.0
3104,300,19.0,0.5625,-1.0,-1.0,1.0
3105,300,18.0,0.5625,1.0,0.0,0.0
3106,40,6.0,0.5625,-2.0,2.0,0.0
3107,115,8.0,0.5625,0.0,2.0,1.0
3108,300,24.0,0.5625,4.0,2.0,1.0
3109,300,11.0,0.5625,1.0,1.0,1.0
3110,300,1.0,0.5625,3.0,1.0,0.0
3111,300,9.0,0.5625,0.0,0.0,1.0
3112,300,10.0,0.5625,0.0,-1.0,0.0
3113,166,7.0,0.25,-1.0,-2.0,1.0
3114,189,2.0,0.25,0.0,2.0,0.0
3115,59,6.0,0.25,-2.0,-2.0,0.0
