,time,fights_f1,win_proportion_f2,height_diff,reach_diff,kd,ctrl,sigster_throw,sigster_land,total_str_throw,td_land,leg_throw,weightclass_hw,weightclass_lhw,weightclass_mw,weightclass_wbw,method_sub,method_tko_doc,round_x_5,stance_x_Orthodox,stance_y_Orthodox,outcome
3134,280,8.0,1.0,1.0,-2.0,0.10869565217391304,-1.4782608695652186,-3.4073226544622432,-11.442791762013726,16.776887871853543,-0.24828375286041182,0.8169336384439356,0,0,1,0,1,0,0,0,1,1.0
3135,114,11.0,0.5,0.0,2.0,-0.16540084388185655,-52.505485232067514,7.235443037974685,27.291561181434602,-0.5729957805907162,0.2928270042194093,1.4046413502109707,0,0,1,0,0,0,0,1,1,1.0
3136,29,1.0,0.5,-1.0,-1.0,0.0862745098039216,-39.26274509803922,4.929411764705884,13.98627450980392,0.10980392156862706,-0.2901960784313725,3.425490196078431,0,0,1,0,0,0,0,0,1,0.0
3137,300,5.0,0.1111111111111111,1.0,4.0,0.005251312828207053,40.3244561140285,-3.751687921980496,-8.485371342835705,-1.2846961740435106,1.334583645911478,-2.9572393098274565,0,0,1,0,0,0,0,1,1,0.0
3138,300,6.0,0.1111111111111111,-1.0,-1.0,-0.011884550084889645,18.81833616298811,-2.1146010186757227,3.624787775891342,0.9601018675721562,0.8217317487266553,-2.4388794567062817,0,0,1,0,0,0,0,1,1,0.0
3139,136,6.0,0.1111111111111111,0.0,3.0,-0.020071684587813617,22.304301075268818,-1.9713261648745544,-3.8781362007168454,7.7881720430107535,0.09892473118279566,-2.274551971326165,0,0,1,0,0,0,0,0,1,0.0
3140,300,9.0,0.1111111111111111,0.0,4.0,0.0056593095642331614,40.56395019807584,-6.333899264289759,-12.989247311827956,-5.425863044708546,1.4006791171477078,-2.0265987549518956,0,0,1,0,0,0,0,1,1,0.0
3141,198,9.0,0.1111111111111111,-1.0,0.0,0.07273877292852626,-5.5702087286527515,-3.742567994939913,-12.753953194180895,0.05091714104996825,0.228336495888678,-1.939911448450348,0,0,1,0,0,0,0,1,1,1.0
3142,300,3.0,0.1111111111111111,-2.0,-2.0,0.06591865357643759,-27.237727910238434,0.8064516129032242,0.7643758765778443,-0.44950911640953706,-0.7938288920056101,1.9467040673211784,0,0,1,0,0,0,0,1,1,0.0
3143,300,3.0,0.1111111111111111,-1.0,-1.0,-0.06451612903225806,30.770967741935486,7.139784946236556,13.14408602150538,20.988172043010753,0.9655913978494624,2.56989247311828,0,0,1,0,0,0,0,0,1,0.0
3144,300,3.0,0.1111111111111111,0.0,-1.0,-0.01451612903225806,-12.329032258064519,3.806451612903224,7.777419354838713,2.7048387096774213,-0.26774193548387104,2.5032258064516126,0,0,1,0,0,0,0,1,1,0.0
3145,260,1.0,0.1111111111111111,-4.0,-2.0,0.17357910906298002,27.32334869431643,-4.145929339477728,-12.941628264208909,12.61674347158218,-0.1105990783410139,-3.9062980030721963,0,0,1,0,0,0,0,1,1,0.0
3146,166,5.0,0.5,1.0,6.0,-0.0159468438538206,2.8392026578073057,-0.27242524916943367,4.580066445182727,-0.13953488372093048,0.6737541528239204,0.13953488372093026,0,0,1,0,0,0,0,1,1,0.0
3147,105,10.0,0.5,2.0,9.0,0.01428571428571429,-46.214285714285715,6.025714285714285,13.342857142857145,14.04,-1.0685714285714285,3.8,0,0,1,0,0,0,0,1,1,1.0
3148,300,8.0,0.5,1.0,6.0,0.01954887218045112,-39.07919799498747,2.969924812030076,7.0235588972431096,3.9298245614035103,-0.9619047619047619,1.4035087719298245,0,1,0,0,0,0,1,1,1,1.0
3149,167,7.0,0.5,1.0,3.0,-0.012987012987012991,24.50389610389611,-3.3870129870129855,-0.002597402597402265,1.0,-0.04675324675324677,-0.36363636363636365,0,0,1,0,0,0,0,0,1,0.0
3150,300,4.0,1.0,-5.0,-5.0,0.06666666666666667,19.933333333333323,8.866666666666667,18.53333333333333,13.533333333333331,0.6000000000000001,3.1999999999999997,0,0,1,0,0,0,0,1,1,1.0
3151,236,5.0,0.5,-2.0,-1.0,-0.013888888888888867,-11.75138888888889,-12.244444444444444,-20.719444444444445,-10.37361111111111,-0.1569444444444444,-4.699999999999999,0,0,0,0,1,0,0,1,1,0.0
