,outcome,time,L_f1,W_f1,L_f2,W_f2,fights_f2,height_y,kd,ctrl,sigster_throw,sigster_land,td_land,head_throw,body_throw,leg_throw,clinch_throw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_ww,method_dec_spl,method_dec_una,method_ko_tko,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch
5225,1.0,300,0.0,3.0,4.0,1.0,5.0,73.0,-0.10126582278481013,160.27215189873417,-7.022943037974684,-24.53322784810127,1.396756329113924,-6.235363924050633,-0.34335443037974667,-0.444224683544304,0.35719936708860756,0,0,0,1,0,0,0,1,0,0,1,0
5226,1.0,300,1.0,3.0,4.0,1.0,5.0,73.0,0.22016274864376134,-15.942133815551538,-8.228300180831827,-18.15822784810127,-0.5809222423146474,-6.1862567811934905,-0.9326401446654609,-1.1094032549728754,0.3973779385171792,0,0,0,1,0,0,0,1,0,1,0,0
5227,1.0,289,2.0,7.0,1.0,2.0,3.0,74.0,-0.1189393939393939,-67.13560606060607,-4.370454545454545,-9.067424242424241,-0.8,-1.9522727272727272,-0.8772727272727273,-1.5409090909090908,-0.3303030303030303,0,0,0,1,0,0,0,0,0,0,1,0
5228,0.0,135,3.0,5.0,1.0,2.0,3.0,74.0,-0.18939393939393936,-37.265151515151516,5.522727272727272,17.689393939393938,0.09090909090909083,4.159090909090909,0.7727272727272727,0.5909090909090908,-0.6893939393939394,0,1,0,0,0,0,0,0,1,1,0,0
5229,0.0,300,2.0,5.0,1.0,2.0,3.0,74.0,-0.3939393939393939,18.56796536796537,2.3116883116883127,15.929004329004329,1.4857142857142858,0.04415584415584384,2.5298701298701296,-0.2623376623376623,-0.2588744588744589,0,1,0,0,0,0,0,1,0,1,0,0
5230,1.0,300,2.0,4.0,2.0,1.0,3.0,67.0,0.023255813953488372,-31.808139534883722,7.463178294573643,24.383720930232556,-1.135658914728682,7.75,-1.25968992248062,0.9728682170542633,-1.939922480620155,0,0,0,0,0,0,0,1,0,1,0,0
5231,0.0,300,2.0,3.0,2.0,1.0,3.0,67.0,0.08333333333333333,94.83333333333334,-1.4166666666666679,-4.583333333333332,0.08333333333333348,-1.25,-1.0,0.8333333333333333,-2.6666666666666665,0,0,0,0,0,0,0,1,0,1,0,0
5232,1.0,176,2.0,4.0,2.0,1.0,3.0,67.0,0.0,74.0,-4.277777777777779,-12.5,0.6666666666666667,-2.0277777777777777,-1.3055555555555554,-0.9444444444444445,-1.222222222222222,0,0,0,0,0,0,0,0,0,1,0,0
5236,0.0,300,4.0,1.0,0.0,1.0,1.0,72.0,0.041081081081081085,-128.22216216216216,0.5351351351351354,1.6621621621621614,-1.984864864864865,-1.604324324324324,2.5010810810810806,-0.3616216216216217,1.6043243243243244,0,0,0,0,0,1,0,1,0,1,0,0
5237,0.0,300,3.0,0.0,1.0,2.0,3.0,63.0,0.0,-59.51010101010101,2.6515151515151523,8.075757575757578,-0.7121212121212122,3.5303030303030294,-1.1868686868686869,0.30808080808080807,-1.6515151515151514,0,0,0,0,0,0,1,0,0,1,0,0
