,outcome,time,fights_f1,fights_f2,win_proportion_f1,win_proportion_f2,height_diff,reach_diff,kd,subatt,rev,ctrl,sigster_throw,sigster_land,total_str_throw,total_str_land,td_throw,td_land,head_throw,body_throw,leg_throw,clinch_throw,ground_throw,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,method_dec_spl,method_dec_una,method_dq,method_ko_tko,method_sub,method_tko_doc,round_x_2,round_x_3,round_x_4,round_x_5,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
4051,1.0,103,4.0,4.0,0.25,0.75,-1.0,-2.0,-0.2,0.11176470588235293,-0.38235294117647056,26.34117647058823,4.776470588235293,10.447058823529414,6.4117647058823515,12.135294117647057,0.6823529411764706,1.5,1.3176470588235283,1.4882352941176467,1.9705882352941178,2.0823529411764703,-0.33529411764705896,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
4052,1.0,300,7.0,4.0,0.2857142857142857,0.75,2.0,1.0,-0.2,0.024324324324324353,-0.33783783783783783,18.886486486486483,1.5459459459459453,10.989189189189187,6.567567567567568,16.818918918918918,0.34054054054054056,1.0405405405405406,-1.5027027027027042,-0.6945945945945948,3.743243243243243,-0.17837837837837844,-0.07297297297297312,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
4053,1.0,246,12.0,4.0,0.5,0.75,1.0,3.0,-0.06206896551724139,-0.02413793103448275,-0.43103448275862066,-11.048275862068968,7.63448275862069,20.110344827586207,9.206896551724139,21.831034482758618,-0.1310344827586207,-0.3620689655172414,1.751724137931033,2.1413793103448273,3.7413793103448274,-0.17931034482758623,0.7620689655172412,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
4054,0.0,41,3.0,4.0,1.0,0.75,3.0,5.0,-0.2,-0.3,-0.375,1.5249999999999986,14.2875,29.4875,21.5625,37.275,0.11249999999999999,0.5,11.7,2.525,0.0625,1.95,-0.9750000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4055,1.0,300,10.0,2.0,0.4,1.0,4.0,5.0,0.05351170568561872,0.14046822742474915,0.0,26.03010033444816,3.414715719063544,4.431438127090303,2.5719063545150505,2.9598662207357833,0.6722408026755853,0.4682274247491638,4.8561872909699,-0.4147157190635449,-1.0267558528428093,0.8227424749163879,0.3511705685618729,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4056,1.0,300,1.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.07692307692307693,0.0,95.84615384615385,3.5384615384615383,-0.2307692307692264,10.923076923076922,7.692307692307693,0.9999999999999999,2.6923076923076925,6.0769230769230775,-1.0769230769230766,-1.4615384615384617,1.0,1.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4057,1.0,300,10.0,5.0,0.4,0.6,0.0,-1.0,0.009222661396574433,-0.055335968379446626,-0.15151515151515152,-62.43610013175231,-2.0118577075098827,3.920948616600789,-15.710144927536232,-11.650856389986828,0.22002635046113306,0.33069828722002637,-3.4281949934123848,1.254281949934124,0.1620553359683794,0.43346508563899855,-2.350461133069829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4058,1.0,300,14.0,5.0,0.2857142857142857,0.6,-3.0,-6.0,-0.12121212121212122,0.20643939393939398,-0.005681818181818177,11.782196969696969,-8.231060606060607,-12.714015151515152,-9.020833333333336,-12.553030303030305,0.24810606060606055,1.481060606060606,-8.119318181818183,0.0984848484848484,-0.21022727272727293,-0.28030303030303033,-1.706439393939394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4059,0.0,239,5.0,5.0,0.6,0.6,-2.0,-4.0,0.2787878787878788,-0.2727272727272727,-0.15151515151515152,-72.1969696969697,-1.5227272727272734,-0.8181818181818201,-14.51666666666667,-15.553030303030305,-0.45606060606060606,-0.16060606060606053,-4.165151515151516,1.1151515151515152,1.527272727272727,0.5030303030303029,-1.593939393939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
4060,0.0,300,1.0,5.0,1.0,0.6,-4.0,-6.0,-0.12121212121212122,-0.20606060606060606,0.3151515151515152,24.303030303030297,-6.406060606060606,-7.484848484848488,-7.866666666666667,-9.103030303030302,0.19393939393939397,1.0060606060606063,-5.515151515151516,-0.4181818181818182,-0.4727272727272729,-0.43030303030303035,0.13939393939393918,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4061,1.0,300,2.0,5.0,0.5,0.6,-3.0,-7.0,-0.12121212121212122,-0.1477272727272727,0.05681818181818182,-23.238636363636374,-3.6893939393939394,-3.2765151515151523,-11.5,-12.219696969696969,-0.3560606060606061,-0.43560606060606055,-1.9734848484848495,-0.19318181818181812,-1.522727272727273,0.428030303030303,-1.143939393939394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4062,0.0,258,10.0,2.0,0.4,0.0,0.0,-1.0,-0.002898550724637683,-0.04927536231884058,-0.06666666666666667,-55.87246376811595,-2.672463768115943,3.872463768115942,-7.910144927536232,-1.9478260869565247,0.4260869565217391,0.5246376811594202,-1.246376811594203,-1.7942028985507243,0.36811594202898545,-1.136231884057971,-2.6231884057971016,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
4063,0.0,14,6.0,2.0,0.5,0.0,1.0,-1.0,-0.1,0.033333333333333326,0.06666666666666667,-1.6666666666666714,-11.233333333333334,-20.96666666666667,-15.366666666666667,-25.233333333333334,0.7333333333333333,1.7666666666666666,-5.433333333333334,-3.966666666666667,-1.8333333333333335,-2.1333333333333333,-1.7666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
4064,1.0,300,10.0,4.0,0.4,0.5,4.0,5.0,0.13043478260869565,0.1507246376811594,-0.4666666666666667,-86.73913043478261,4.3942028985507235,11.405797101449277,-7.843478260869565,-2.547826086956526,0.02608695652173909,-0.67536231884058,2.086956521739131,1.6724637681159422,0.6347826086956523,0.863768115942029,-2.489855072463768,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4065,1.0,300,14.0,4.0,0.2857142857142857,0.5,1.0,0.0,0.0,0.41250000000000003,-0.3208333333333333,-12.520833333333329,-1.825000000000001,-5.229166666666664,-1.1541666666666686,-3.450000000000003,0.054166666666666585,0.47499999999999964,-2.604166666666667,0.5166666666666666,0.26249999999999996,0.15000000000000002,-1.8458333333333332,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4066,0.0,300,6.0,4.0,0.5,0.5,4.0,4.0,0.13333333333333333,0.4,-0.26666666666666666,-68.0,0.13333333333333286,-3.7333333333333307,-3.6000000000000014,-8.333333333333336,-0.06666666666666676,0.06666666666666643,-1.2000000000000002,1.8666666666666665,-0.5333333333333334,1.0666666666666667,-1.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4067,0.0,300,3.0,4.0,1.0,0.5,1.0,-2.0,0.0,0.43333333333333335,-0.4666666666666667,-97.11111111111111,3.3555555555555543,5.333333333333336,-5.68888888888889,-4.5333333333333385,-0.5777777777777778,-1.0111111111111113,3.833333333333334,-0.12222222222222223,-0.3555555555555556,-0.1,-2.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
