,outcome,time,fights_f1,fights_f2,win_proportion_f1,win_proportion_f2,height_x,reach_x,height_y,reach_y,weightclass_flw,weightclass_ftw,weightclass_hw,weightclass_lhw,weightclass_lw,weightclass_mw,weightclass_wbw,weightclass_wflw,weightclass_wsw,weightclass_ww,round_2,round_3,round_4,round_5,stance_x_Orthodox,stance_x_Southpaw,stance_x_Switch,stance_y_Orthodox,stance_y_Southpaw,stance_y_Switch
3487,1.0,300,6.0,5.0,0.3333333333333333,0.6,64.0,65.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3488,1.0,103,13.0,5.0,0.38461538461538464,0.6,65.0,67.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
3489,0.0,49,11.0,5.0,0.45454545454545453,0.6,67.0,66.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3490,1.0,281,10.0,5.0,0.7,0.6,69.0,68.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3491,0.0,299,2.0,5.0,1.0,0.6,65.0,65.0,65.0,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3492,0.0,300,13.0,3.0,0.46153846153846156,0.0,68.0,70.0,72.0,76.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
3493,0.0,300,20.0,3.0,0.3,0.0,73.0,72.0,72.0,76.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
3494,0.0,300,11.0,3.0,0.45454545454545453,0.0,71.0,72.0,72.0,76.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
3495,1.0,159,11.0,6.0,0.2727272727272727,0.5,66.0,65.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3496,0.0,300,7.0,6.0,0.14285714285714285,0.5,67.0,71.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3497,0.0,300,10.0,6.0,0.6,0.5,67.0,69.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3498,1.0,300,17.0,6.0,0.29411764705882354,0.5,65.0,66.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3499,0.0,112,5.0,6.0,0.2,0.5,68.0,68.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3500,1.0,300,10.0,6.0,0.2,0.5,67.0,69.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3502,1.0,290,5.0,3.0,0.4,0.6666666666666666,74.0,73.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3503,1.0,300,8.0,3.0,0.375,0.6666666666666666,69.0,69.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3504,0.0,300,4.0,3.0,0.75,0.6666666666666666,72.0,73.0,70.0,70.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3505,1.0,78,16.0,2.0,0.4375,1.0,74.0,75.0,73.0,77.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3506,1.0,252,3.0,2.0,0.3333333333333333,1.0,71.0,70.0,73.0,77.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
3507,0.0,45,9.0,3.0,0.2222222222222222,0.0,76.0,80.0,76.0,83.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3508,0.0,102,14.0,3.0,0.5,0.0,76.0,80.0,76.0,83.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3509,0.0,92,20.0,3.0,0.55,0.0,75.0,77.0,76.0,83.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3510,0.0,300,2.0,2.0,1.0,0.5,75.0,72.0,71.0,76.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3511,1.0,216,5.0,2.0,0.6,0.5,76.0,78.0,71.0,76.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
3512,1.0,138,9.0,8.0,0.2222222222222222,0.625,65.0,67.0,70.0,71.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3513,0.0,244,3.0,8.0,1.0,0.625,65.0,68.0,70.0,71.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3514,1.0,270,13.0,8.0,0.38461538461538464,0.625,65.0,67.0,70.0,71.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3515,0.0,199,4.0,8.0,0.75,0.625,67.0,66.0,70.0,71.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3516,1.0,300,6.0,8.0,0.3333333333333333,0.625,64.0,65.0,70.0,71.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3517,1.0,86,4.0,8.0,0.0,0.625,66.0,73.0,70.0,71.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3518,1.0,253,2.0,8.0,0.5,0.625,67.0,69.0,70.0,71.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3519,0.0,66,6.0,8.0,0.5,0.625,69.0,71.0,70.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3520,0.0,300,7.0,4.0,0.42857142857142855,0.25,67.0,67.0,69.0,71.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
3522,1.0,236,4.0,4.0,0.0,0.25,68.0,69.0,69.0,71.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3524,1.0,300,6.0,3.0,0.5,0.6666666666666666,67.0,69.0,63.0,64.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
3525,1.0,147,9.0,3.0,0.3333333333333333,0.6666666666666666,64.0,63.0,63.0,64.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3527,1.0,117,4.0,1.0,0.25,1.0,66.0,70.0,69.0,72.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3528,0.0,300,2.0,3.0,0.5,0.3333333333333333,66.0,69.0,66.0,68.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3529,0.0,300,3.0,3.0,1.0,0.3333333333333333,65.0,68.0,66.0,68.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3530,1.0,300,9.0,3.0,0.2222222222222222,0.3333333333333333,65.0,67.0,66.0,68.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3531,1.0,300,3.0,4.0,0.3333333333333333,0.75,66.0,65.0,66.0,68.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
3532,1.0,110,2.0,4.0,0.5,0.75,66.0,66.0,66.0,68.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3534,1.0,300,6.0,4.0,0.3333333333333333,0.75,64.0,65.0,66.0,68.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
3535,0.0,291,12.0,3.0,0.16666666666666666,0.0,73.0,77.0,76.0,80.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3536,0.0,300,14.0,3.0,0.5,0.0,73.0,74.0,76.0,80.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3537,0.0,217,1.0,3.0,1.0,0.0,75.0,80.0,76.0,80.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3538,1.0,300,7.0,1.0,0.42857142857142855,1.0,64.0,67.0,67.0,69.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3539,1.0,300,17.0,2.0,0.5294117647058824,1.0,70.0,73.0,69.0,65.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3540,1.0,300,19.0,2.0,0.3157894736842105,1.0,68.0,70.0,69.0,65.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3541,1.0,160,10.0,9.0,0.5,0.6666666666666666,75.0,77.0,74.0,76.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3542,1.0,300,7.0,9.0,0.2857142857142857,0.6666666666666666,75.0,79.0,74.0,76.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
