fighter,W,L,fights
Marc-Andre Barriault ,2,2,4
Marcelo Golm ,0,1,1
Marcelo Guimaraes ,1,2,3
Marcelo Rojo ,1,0,1
Marcin Bandel ,1,0,1
Marcin Held ,1,1,2
Marcin Prachnio ,2,1,3
Marcin Tybura ,2,7,9
Marcio Alexandre Junior ,1,0,1
Marco Beltran ,1,2,3
Marco Polo Reyes ,1,2,3
Marcos Rogerio de Lima ,2,5,7
Marcos Vinicius ,1,1,2
Marcus Brimage ,4,2,6
Marcus Davis ,0,1,1
Marcus LeVesseur ,1,1,2
Marcus McGhee ,0,1,1
Maria Oliveira ,0,1,1
Marina Rodriguez ,2,5,7
Mario Bautista ,1,4,5
Mario Miranda ,1,0,1
Marion Reneau ,4,2,6
Mariya Agapova ,2,1,3
Mark Bocek ,2,4,6
Mark De La Rosa ,1,2,3
Mark Eddiva ,1,0,1
Mark Godbeer ,1,1,2
Mark Hominick ,3,1,4
Mark Hunt ,4,5,9
Mark Madsen ,0,2,2
Mark Munoz ,4,4,8
Markus Perez ,2,2,4
Marlon Moraes ,4,2,6
Marlon Vera ,1,9,10
Martin Bravo ,2,0,2
Martin Buday ,1,2,3
Martin Day ,2,0,2
Martin Kampmann ,0,1,1
Marvin Vettori ,1,4,5
Maryna Moroz ,2,3,5
Masio Fullen ,0,1,1
Mason Jones ,1,1,2
Mateusz Gamrot ,1,1,2
Mateusz Rebecki ,0,3,3
Matheus Nicolau ,0,2,2
Matt Bessette ,2,0,2
Matt Brown ,5,12,17
Matt Dwyer ,1,0,1
Matt Frevola ,3,3,6
Matt Hamill ,1,1,2
Matt Hughes ,2,2,4
Matt Mitrione ,0,5,5
Matt Sayles ,1,0,1
Matt Schnell ,0,4,4
Matt Serra ,1,1,2
Matt Van Buren ,1,0,1
Matt Wiman ,2,2,4
Matthew Lopez ,1,0,1
Matthew Riddle ,2,3,5
Matthew Semelsberger ,2,3,5
Maurice Greene ,3,3,6
Mauricio Rua ,9,8,17
Max Griffin ,2,2,4
Max Holloway ,0,10,10
Maximo Blanco ,1,2,3
Maycee Barber ,1,4,5
Mayra Bueno Silva ,1,4,5
Melissa Martinez ,1,0,1
Melsik Baghdasaryan ,0,1,1
Melvin Guillard ,3,6,9
Merab Dvalishvili ,1,2,3
Michael Bisping ,2,9,11
Michael Chandler ,0,1,1
Michael Chiesa ,6,4,10
Michael Graves ,0,1,1
Michael Johnson ,9,8,17
Michael Kuiper ,1,0,1
Michael McDonald ,1,4,5
Michael Morales ,0,3,3
Michael Trizano ,2,2,4
Michal Oleksiejczuk ,1,0,1
Michel Pereira ,1,3,4
Michel Prazeres ,2,7,9
Michelle Waterson ,0,3,3
Michelle Waterson-Gomez ,2,0,2
Michihiro Omigawa ,0,1,1
Michinori Tanaka ,1,0,1
Mick Parkin ,0,2,2
Mickael Lebout ,0,1,1
Mickey Gall ,1,4,5
Miesha Tate ,2,5,7
Miguel Baeza ,2,2,4
Miguel Torres ,2,2,4
Mike Brown ,2,2,4
Mike Davis ,0,3,3
Mike Easton ,0,2,2
Mike Grundy ,1,1,2
Mike Guymon ,1,0,1
Mike Jackson ,1,0,1
Mike Lullo ,1,0,1
Mike Malott ,0,2,2
Mike Massenzio ,2,0,2
Mike Perry ,3,2,5
Mike Pierce ,0,7,7
Mike Pyle ,5,6,11
Mike Ricci ,1,1,2
Mike Rio ,0,1,1
Mike Rodriguez ,2,0,2
Mike Russow ,1,1,2
Mike Santiago ,2,0,2
Mike Stumpf ,1,0,1
Mike Swick ,2,1,3
Mike Wilkinson ,1,0,1
Miles Johns ,2,2,4
Miranda Granger ,1,1,2
Miranda Maverick ,3,2,5
Mirko Filipovic ,2,2,4
Mirsad Bektic ,3,4,7
Misha Cirkunov ,5,5,10
Mitch Clarke ,3,1,4
Mitch Gagnon ,2,4,6
Mizuki,0,1,1
Mizuto Hirota ,2,0,2
Modestas Bukauskas ,2,1,3
Mohammed Usman ,0,3,3
Molly McCann ,3,6,9
Montana De La Rosa ,1,4,5
Montel Jackson ,0,4,4
Morgan Charriere ,0,1,1
Mounir Lazzez ,0,1,1
Movsar Evloev ,0,4,4
Muhammad Mokaev ,0,4,4
Muslim Salikhov ,1,2,3
Myles Jury ,1,4,5
Na Liang ,1,0,1
Nad Narimani ,0,1,1
Nadia Kassem ,1,0,1
Nah-Shon Burrell ,0,1,1
Nam Phan ,3,0,3
0dor Guelmino ,1,0,1
Naoki Inoue ,0,1,1
Naoyuki Kotani ,1,0,1
Nasrat Haqparast ,0,5,5
Nassourdine Imavov ,0,2,2
Natalia Silva ,0,2,2
Natan Levy ,0,2,2
Nate Diaz ,4,6,10
Nate Landwehr ,1,3,4
Nate Maness ,1,2,3
Nate Marquardt ,4,2,6
Nate Quarry ,1,0,1
Nathaniel Wood ,0,5,5
Nazim Sadykhov ,0,2,2
Neil Magny ,6,15,21
Neil Seery ,1,3,4
Nicholas Musoke ,2,1,3
Nick Catone ,1,2,3
Nick Diaz ,1,0,1
Nick Hein ,2,4,6
Nick Maximov ,2,0,2
Nick Osipczak ,2,0,2
Nick Penner ,1,0,1
Nick Ring ,3,2,5
Nicolae Negumereanu ,1,3,4
Nicolas Dalby ,1,2,3
Nik Lentz ,3,4,7
Nikita Krylov ,3,4,7
Niklas Backstrom ,2,0,2
Niklas Stolze ,2,0,2
Niko Price ,2,2,4
Nikolas Motta ,0,2,2
Nina Nunes ,1,0,1
Noad Lahat ,1,0,1
Nolan Ticman ,2,0,2
Nora Cornolle ,0,1,1
Nordine Taleb ,3,5,8
Norifumi Yamamoto ,3,0,3
Norman Parke ,2,4,6
Ode Osbourne ,2,2,4
Oli Thompson ,1,0,1
Oliver Enkamp ,1,0,1
Olivier Aubin-Mercier ,3,5,8
Oluwale Bamgbose ,1,0,1
Omar Morales ,1,0,1
Omari Akhmedov ,3,3,6
Orion Cosce ,1,1,2
Oskar Piechota ,0,2,2
Ottman Azaitar ,1,2,3
Ovince Saint Preux ,7,9,16
Paddy Holohan ,2,3,5
Paddy Pimblett ,0,4,4
Paige VanZant ,2,4,6
Pannie Kianzad ,1,1,2
Papy Abedi ,1,1,2
Parker Porter ,0,2,2
Pascal Krauss ,1,1,2
Pat Audinwood ,1,0,1
Pat Barry ,4,3,7
Pat Healy ,1,0,1
Pat Sabatini ,0,4,4
Patrick Cote ,3,6,9
Patrick Cummins ,1,3,4
Patrick Walsh ,0,1,1
Patrick Williams ,1,0,1
Paul Craig ,2,4,6
Paul Daley ,0,1,1
Paul Felder ,3,2,5
Paul Kelly ,1,2,3
Paul Sass ,2,1,3
Paul Taylor ,0,1,1
Paulo Costa ,1,2,3
Paulo Thiago ,5,3,8
Pawel Pawlak ,0,1,1
Payton Talbott ,0,1,1
Pearl Gonzalez ,1,0,1
Pedro Munhoz ,3,8,11
Peter Sobotta ,0,4,4
Petr Yan ,2,2,4
Phil Baroni ,1,0,1
Phil Davis ,2,5,7
Phil Harris ,1,1,2
Phil Hawes ,4,3,7
Phil Rowe ,0,1,1
Philip De Fries ,1,1,2
Philipe Lins ,1,1,2
Phillipe Nover ,0,1,1
Piera Rodriguez ,0,2,2
Pingyuan Liu ,1,1,2
Piotr Hallmann ,1,0,1
Poliana Botelho ,1,1,2
Polyana Viana ,4,3,7
Preston Parsons ,0,1,1
Priscila Cachoeira ,0,2,2
Punahele Soriano ,4,3,7
Quinton Jackson ,3,2,5
Rafa Garcia ,0,3,3
Rafael Alves ,2,0,2
Rafael Cavalcante ,1,1,2
Rafael Dos Anjos ,6,7,13
Rafael Fiziev ,1,0,1
Rafael Natal ,3,8,11
Rafaello Oliveira ,1,2,3
Ramazan Emeev ,1,2,3
Ramiro Her0dez ,1,0,1
Ramiz Brahimaj ,0,1,1
Ramsey Nijem ,4,5,9
Randa Markos ,6,5,11
Randy Brown ,3,7,10
Randy Costa ,1,1,2
Randy Couture ,0,2,2
Rani Yahya ,4,10,14
Raoni Barcelos ,2,5,7
Raphael Assuncao ,5,12,17
Raphael Pessoa ,0,1,1
Raquel Pennington ,3,4,7
Rashad Coulter ,2,0,2
Rashad Evans ,3,5,8
Raul Rosas Jr. ,1,2,3
Raulian Paiva ,2,1,3
Ray Borg ,2,4,6
Rayanne Amanda ,1,0,1
Re0 Barao ,4,3,7
Renato Moicano ,2,5,7
Renee Forte ,1,0,1
Reuben Duran ,1,1,2
Reza Madadi ,1,2,3
Ricardo Abreu ,1,1,2
Ricardo Almeida ,1,1,2
Ricardo Funch ,2,0,2
Ricardo Lamas ,3,8,11
Ricardo Ramos ,4,6,10
Rich Attonito ,2,1,3
Rich Franklin ,1,0,1
Richard Walsh ,2,2,4
Richardson Moreira ,1,0,1
Richie Vaculik ,3,1,4
Rick Story ,2,4,6
Ricky Glenn ,2,1,3
Ricky Simon ,1,5,6
Ricky Turcios ,0,2,2
Riki Fukuda ,1,2,3
Rinat Fakhretdinov ,0,1,1
Roan Carneiro ,0,1,1
Rob Broughton ,1,1,2
Rob Emerson ,1,1,2
Rob Font ,3,7,10
Rob Kimmons ,1,1,2
Rob Wilkinson ,1,0,1
Robbie Lawler ,4,5,9
Robert McDaniel ,1,1,2
Robert Peralta ,0,2,2
Robert Sanchez ,1,1,2
Robert Whiteford ,1,1,2
Robert Whittaker ,2,9,11
Rodney Wallace ,2,0,2
Rodolfo Bellato ,0,1,1
Rodolfo Vieira ,1,4,5
Rodrigo Damm ,1,2,3
Rodrigo Nascimento ,0,2,2
Rogerio Bontorin ,2,1,3
Rogerio Nogueira ,2,1,3
Roland Delorme ,3,3,6
Rolando Dy ,1,0,1
Roldan Sangcha'an ,1,0,1
Roman Dolidze ,1,4,5
Roman Kopylov ,1,2,3
Ron Stallings ,0,1,1
Rong Zhu ,1,1,2
Ronnie Lawrence ,1,0,1
Ronny Markes ,2,2,4
Rony Jason ,3,3,6
Roosevelt Roberts ,2,3,5
Rory MacDonald ,2,7,9
Rose Namajunas ,1,4,5
Rosi Sexton ,1,0,1
Ross Pearson ,9,7,16
Rostem Akman ,1,0,1
Rousimar Palhares ,1,4,5
Roxanne Modafferi ,6,4,10
Roy Nelson ,5,6,11
Royston Wee ,0,1,1
Ruan Potts ,1,0,1
Ruslan Magomedov ,0,1,1
Russell Doane ,2,0,2
Rustam Khabilov ,2,6,8
Ryan Bader ,0,9,9
Ryan Benoit ,1,2,3
Ryan Couture ,2,0,2
Ryan Hall ,1,1,2
Ryan Jimmo ,0,2,2
Ryan LaFlare ,2,3,5
Ryan MacDonald ,1,0,1
Ryan McGillivray ,1,0,1
Ryan Spann ,0,3,3
Sabah Homasi ,2,0,2
Sabina Mazo ,3,3,6
Sage Northcutt ,2,5,7
Sai Wang ,0,1,1
Said Nurmagomedov ,1,2,3
Saimon Oliveira ,1,0,1
Sako Chivitchian ,1,0,1
Salim Touahri ,1,0,1
Sam Alvey ,7,4,11
Sam Patterson ,1,0,1
Sam Sicilia ,2,2,4
Sam Stout ,5,5,10
Santiago Ponzinibbio ,4,6,10
Sara McMann ,3,7,10
Sarah Kaufman ,1,1,2
Sarah Moras ,3,1,4
Sasha Palatnikov ,1,0,1
Scott Askham ,2,2,4
Scott Holtzman ,3,5,8
Scott Jorgensen ,3,4,7
Sean Brady ,0,4,4
Sean McCorkle ,1,0,1
Sean O'Malley ,1,5,6
Sean Pierson ,0,2,2
Sean Sherk ,0,1,1
Sean Soriano ,1,0,1
Sean Spencer ,1,1,2
Sean Strickland ,1,5,6
Sean Woodson ,0,3,3
Sedriques Dumas ,1,0,1
Seo Hee Ham ,1,1,2
Sergei Pavlovich ,0,2,2
Sergey Morozov ,0,1,1
Serghei Spivac ,0,2,2
Sergio Moraes ,1,7,8
Sergio Pettis ,2,4,6
Serhiy Sidey ,1,0,1
Seth Baczynski ,3,2,5
Seth Petruzelli ,2,0,2
SeungGuk Choi ,1,0,1
SeungWoo Choi ,1,2,3
Shamil Abdurakhimov ,4,1,5
Shamil Gamzatov ,1,1,2
Shana Dobson ,2,0,2
Shane Burgos ,1,6,7
Shane Campbell ,1,1,2
Shane Carwin ,1,0,1
Shane Roller ,1,0,1
Shane Young ,4,1,5
Shannon Ross ,2,0,2
Shauna Bannon ,1,0,1
Shavkat Rakhmonov ,0,3,3
Shawn Jordan ,1,3,4
Shayilan Nuerdanbieke ,1,2,3
Sheldon Westcott ,0,1,1
Shinsho Anzai ,1,2,3
Sijara Eubanks ,3,4,7
Silvana Gomez Juarez ,1,0,1
Simeon Thoresen ,1,1,2
Siyar Bahadurzada ,1,2,3
Soa Palelei ,1,3,4
Sodiq Yusuff ,1,3,4
Song Ke0 ,3,3,6
Song Yadong ,1,7,8
Spencer Fisher ,1,1,2
Spike Carlyle ,1,0,1
Stefan Struve ,6,8,14
Stephan Bonnar ,0,2,2
Stephanie Egger ,1,1,2
Stephen Thompson ,3,5,8
Steve Bosse ,0,1,1
Steve Cantwell ,2,0,2
Steve Erceg ,0,1,1
Steve Garcia ,0,2,2
Steve Lopez ,1,0,1
Steve Montgomery ,1,0,1
Steven Peterson ,2,0,2
Steven Siler ,2,3,5
Stevie Ray ,3,3,6
Stipe Miocic ,0,6,6
Sultan Aliev ,0,1,1
Suman Mokhtarian ,1,0,1
Sumudaerji ,1,3,4
Syuri Kondo ,0,1,1
TJ Brown ,1,2,3
TJ Dillashaw ,0,7,7
TJ Grant ,2,4,6
TJ Waldburger ,1,4,5
Tabatha Ricci ,1,2,3
Tae Hyun Bang ,1,1,2
Tafon Nchukwi ,1,1,2
Tagir Ulanbekov ,0,3,3
Tai Tuivasa ,4,3,7
Tainara Lisboa ,0,1,1
Takanori Gomi ,3,3,6
Takashi Sato ,1,1,2
Takeya Mizugaki ,2,8,10
Talita Bernardo ,2,0,2
Tamdan McCrory ,1,0,1
Tamires Vidal ,1,1,2
Tanner Boser ,3,3,6
Tarec Saffiedine ,2,2,4
Tateki Matsuda ,1,0,1
Tatiana Suarez ,0,3,3
Tatsuro Taira ,0,4,4
Tatsuya Kawajiri ,0,2,2
Taylor Lapilus ,0,4,4
Te Edwards ,1,0,1
Tecia Torres ,2,9,11
Teemu Packalen ,0,1,1
Tereza Bleda ,0,1,1
Terrance McKinney ,0,4,4
Terry Etim ,2,1,3
Teruto Ishihara ,3,2,5
Thales Leites ,3,6,9
Themba Gorimbo ,0,1,1
Thiago Alves ,5,5,10
Thiago Moises ,1,3,4
Thiago Perpetuo ,2,1,3
Thiago Santos ,5,9,14
Thiago Silva ,0,2,2
Thiago Tavares ,3,5,8
Thibault Gouti ,1,1,2
Thomas Almeida ,3,3,6
Thomas Petersen ,1,0,1
Tiago dos Santos e Silva ,2,0,2
Tim Boetsch ,5,4,9
Tim Elliott ,5,6,11
Tim Kennedy ,2,2,4
Tim Means ,7,9,16
Timothy Johnson ,2,2,4
Timur Valiev ,0,1,1
Tito Ortiz ,2,1,3
Todd Brown ,1,0,1
Todd Duffee ,1,1,2
Tom Aspinall ,0,4,4
Tom Blackledge ,1,0,1
Tom Breese ,0,2,2
Tom Duquesnoy ,1,1,2
Tom Lawlor ,2,0,2
Tom Niinimaki ,2,0,2
Tom Watson ,1,2,3
Tomasz Drwal ,1,0,1
Tony Ferguson ,5,10,15
Tony Gravely ,1,2,3
Tonya Evinger ,1,0,1
Tor Troeng ,2,1,3
Toshiomi Kazama ,1,0,1
Tracy Cortez ,0,4,4
Travis Browne ,3,5,8
Tresean Gore ,1,0,1
Trevin Giles ,2,6,8
Trevin Jones ,2,0,2
Trevor Peek ,1,0,1
Trevor Smith ,1,3,4
Trey Ogden ,0,1,1
Tucker Lutz ,1,0,1
Tyler Diamond ,1,0,1
Tyron Woodley ,2,3,5
Tyson Griffin ,4,1,5
Tyson Nam ,2,2,4
Tyson Pedro ,1,5,6
Umar Nurmagomedov ,0,2,2
Uriah Hall ,7,7,14
Urijah Faber ,1,11,12
Uros Medic ,2,1,3
Vagner Rocha ,1,0,1
Valentina Shevchenko ,0,2,2
Valerie Letourneau ,2,1,3
Valmir Lazaro ,1,0,1
Vanessa Demopoulos ,0,3,3
Vanessa Melo ,1,0,1
Vaughan Lee ,1,1,2
Vernon Ramos Ho ,1,0,1
Veronica Hardy ,0,1,1
Veronica Macedo ,3,1,4
Vicente Luque ,2,12,14
Victor Altamirano ,1,1,2
Victor Henry ,0,1,1
Victoria Leonardo ,2,0,2
Vik Grujic ,2,0,2
Viktor Pesta ,2,1,3
Viktoriia Dudakova ,0,1,1
Vinc Pichel ,2,3,5
Vince Cachero ,1,0,1
Vince Morales ,1,1,2
Vinicius Moreira ,1,0,1
Vinny Magalhaes ,1,0,1
Virna Jandiroba ,0,2,2
Viscardi Andrade ,1,2,3
Vitor Belfort ,2,7,9
Vitor Miranda ,2,3,5
Vitor Petrino ,0,3,3
Viviane Araujo ,2,2,4
Viviane Pereira ,1,1,2
Vladimir Matyushenko ,1,2,3
Volkan Oezdemir ,4,4,8
Wagner Prado ,1,0,1
Wagner Silva ,1,0,1
Waldo Cortes-Acosta ,0,1,1
Walel Watson ,1,1,2
Walt Harris ,3,4,7
Wanderlei Silva ,1,3,4
Wang Guan ,0,1,1
Warlley Alves ,5,6,11
Waylon Lowe ,1,1,2
Wellington Turman ,2,0,2
Wendell Oliveira Marques ,1,0,1
Westin Wilson ,1,0,1
Will Brooks ,2,0,2
Will Campuzano ,4,0,4
William Gomis ,0,2,2
William Knight ,2,2,4
William Macario ,2,1,3
Wilson Reis ,2,4,6
Wu Ya0 ,4,1,5
Wuliji Buren ,2,0,2
Yair Rodriguez ,0,6,6
Yan Cabral ,3,2,5
Yan Xiao0 ,1,2,3
Yana Kunitskaya ,0,1,1
Yancy Medeiros ,1,2,3
Yao Zhikui ,3,0,3
Yaotzin Meza ,1,0,1
Yasuhiro Urushitani ,1,0,1
Yazmin Jauregui ,1,2,3
Yoel Romero ,1,1,2
Yohan Lainesse ,1,0,1
Yorgan De Castro ,2,0,2
Yosdenis Cedeno ,1,1,2
Yoshihiro Akiyama ,2,1,3
Yoshiyuki Yoshida ,1,0,1
Youssef Zalal ,1,1,2
Yui Chul Nam ,1,0,1
Yuri Villefort ,1,0,1
Yusaku Kinoshita ,1,0,1
Yushin Okami ,3,4,7
Yusuke Kasuya ,1,0,1
Yuta Sasaki ,0,1,1
Yves Edwards ,5,3,8
Yves Jabouin ,3,4,7
Zabit Magomedsharipov ,0,4,4
Zac Pauga ,1,0,1
Zach Makovsky ,1,2,3
Zach Reese ,1,0,1
Zak Cummings ,1,6,7
Zak Ottow ,0,1,1
Zelim Imadaev ,1,0,1
Zhalgas Zhumagulov ,1,1,2
Zhang Lipeng ,2,1,3
Zhang Tiequan ,3,1,4
Zhang Weili ,0,2,2
Zubaira Tukhugov ,1,2,3
0,0,0,0
