fighter,W,L,fights
Francisco Prado,1,1,2
Francisco Rivera,3,3,6
Francisco Trevino,0,1,1
Francisco Trinaldo,5,3,8
Frank Camacho,3,2,5
Frank Mir,2,1,3
Frank Trigg,1,0,1
Frankie Edgar,1,1,2
Frankie Perez,1,1,2
Frankie Saenz,2,3,5
Fredy Serrano,2,2,4
Gabe Green,3,0,3
Gabe Ruediger,2,0,2
Gabriel Benitez,1,1,2
Gabriel Gonzaga,5,0,5
Gabriel Miranda,1,1,2
Gabriel Santos,2,0,2
Gabriel Silva,1,0,1
Gabriella Fer0des,2,0,2
Gadzhi Omargadzhiev,2,0,2
Gadzhimurad Antigulov,1,2,3
Gaetano Pirrello,2,0,2
Galore Bofando,1,1,2
Garett Whiteley,3,0,3
Garreth McLellan,2,1,3
Garrett Armfield,1,1,2
Gasan Umalatov,3,1,4
Gaston Bolanos,1,1,2
Gavin Tucker,2,1,3
Geane Herrera,3,1,4
Gegard Mousasi,2,4,6
Genaro Valdez,3,0,3
Geoff Neal,2,2,4
George Roop,4,2,6
George Sullivan,2,1,3
Gerald Meerschaert,7,7,14
Germaine de Randamie,1,3,4
Gian Villante,3,3,6
Giga Chikadze,1,2,3
Gilbert Burns,2,6,8
Gilbert Melendez,2,0,2
Gilbert Smith,1,0,1
Gilbert Urbina,1,1,2
Gilbert Yvel,3,0,3
Gillian Robertson,4,3,7
Gina Mazany,3,1,4
Gleison Tibau,4,4,8
Gloria de Paula,2,1,3
Glover Teixeira,2,4,6
Godofredo Pepey,3,0,3
Goran Reljic,3,0,3
Grant Dawson,0,4,4
Gray Maynard,0,1,1
Greg Hardy,4,1,5
Greg Soto,2,1,3
Gregor Gillespie,1,3,4
Gregory Rodrigues,1,4,5
Grigory Popov,1,0,1
Guangyou Ning,1,0,1
Guido Cannetti,5,3,8
Guilherme Vasconcelos,1,0,1
Gunnar Nelson,2,2,4
Guram Kutateladze,1,1,2
Gustavo Lopez,1,0,1
Guto Inocente,2,0,2
Hacran Dias,2,2,4
Hakeem Dawodu,3,1,4
Hamdy Abdelwahab,0,1,1
Hannah Cifers,4,1,5
Hannah Goldy,4,1,5
Hans Stringer,2,1,3
Harry Hunsucker,3,0,3
Hatsu Hioki,2,0,2
Heather Clark,2,1,3
Hector Aldana,3,0,3
Hector Lombard,5,2,7
Hector Sandoval,2,0,2
Hector Urbina,1,1,2
Henrique da Silva,2,1,3
Henry Briones,1,0,1
Henry Cejudo,1,2,3
Henry Martinez,2,0,2
Herbert Burns,1,0,1
Her0i Perpetuo,1,0,1
Holly Holm,0,1,1
Horacio Gutierrez,1,0,1
Hu Yaozong,1,0,1
Hugo Viana,1,3,4
Humberto Bandenay,2,1,3
Humberto Brown Morrison,1,0,1
Hunter Azure,0,2,2
Hyun Gyu Lim,2,2,4
HyunSung Park,0,1,1
Ian Entwistle,1,1,2
Ian Garry,0,2,2
Ian Heinisch,3,2,5
Ian Loveland,2,0,2
Ian McCall,2,1,3
Iasmin Lucindo,1,1,2
Ignacio Bahamondes,1,2,3
Igor Araujo,0,1,1
Igor Pokrajac,5,2,7
Ihor Potieria,3,1,4
Ike Villanueva,4,0,4
Ikram Aliskerov,0,1,1
Ildemar Alcantara,2,2,4
Ilia Topuria,0,5,5
Iliarde Santos,2,0,2
Ilir Latifi,4,4,8
Impa Kasanganay,0,1,1
Inoue Mizuki,1,1,2
Ion Cutelaba,6,3,9
Irene Aldana,4,2,6
Irina Alekseeva,0,1,1
Irwin Rivera,2,0,2
Isaac Dulgarian,0,1,1
Isaac Vallie-Flagg,2,1,3
Isabela de Padua,1,0,1
Islam Makhachev,1,3,4
Ismail Naurdiev,1,2,3
Israel Adesanya,0,3,3
Issei Tamura,2,1,3
Istela Nunes,2,0,2
Iuri Alcantara,3,2,5
Ivan Jorge,2,1,3
Ivan Menjivar,2,0,2
JC Cottrell,2,0,2
JJ Aldrich,5,4,9
JP Buys,2,0,2
Jacare Souza,2,2,4
Jack Della Maddalena,0,1,1
Jack Hermansson,2,6,8
Jack Jenkins,0,1,1
Jack Marshman,4,1,5
Jack May,2,0,2
Jack Shore,1,1,2
Jacob Kilburn,1,0,1
Jacob Malkoun,1,3,4
Jacob Volkmann,1,1,2
Jafel Filho,1,0,1
Jai Herbert,2,1,3
Jailton Almeida,0,2,2
Jairzinho Rozenstruik,3,5,8
Jake Collier,8,2,10
Jake Ellenberger,3,4,7
Jake Hadley,1,1,2
Jake Hecht,1,1,2
Jake Lindsey,2,0,2
Jake Matthews,2,3,5
Jake Shields,0,2,2
Jalin Turner,2,3,5
Jamahal Hill,1,4,5
Jamal Pogues,1,2,3
Jamall Emmers,1,1,2
James Bochnovic,2,0,2
James Hammortree,1,0,1
James Head,2,2,4
James Irvin,1,0,1
James Krause,3,5,8
James Moontasri,3,0,3
James Te Huna,3,0,3
James Toney,1,0,1
James Vick,3,4,7
Jamey Simmons,2,0,2
Jamey-Lyn Horth,1,1,2
Jamie Moyle,1,1,2
Jamie Mullarkey,3,2,5
Jamie Pickett,5,0,5
Jamie Varner,1,2,3
Jan Blachowicz,3,5,8
Jared Cannonier,3,4,7
Jared Gooden,3,2,5
Jared Gordon,2,3,5
Jared Hamman,0,2,2
Jared Papazian,2,0,2
Jared Rosholt,1,2,3
Jared Vanderaa,5,1,6
Jarjis Danho,1,1,2
Jarno Errens,1,0,1
Jarred Brooks,1,2,3
Jasmine Jasudavicius,1,2,3
Jason Brilz,2,1,3
Jason Gonzalez,3,0,3
Jason High,3,1,4
Jason Knight,2,4,6
Jason MacDonald,1,0,1
Jason Miller,1,0,1
Jason Novelli,2,0,2
Jason Reinhardt,2,0,2
Jason Witt,2,2,4
Jason Young,2,0,2
Javid Basharat,0,2,2
Javier Vazquez,0,1,1
Jay Hieron,2,0,2
Jay Perrin,3,0,3
Jay Silva,1,0,1
Jean Silva,0,1,1
Jeff Curran,1,0,1
Jeff Hougland,2,0,2
Jeff Hughes,3,0,3
Jeff Molina,0,1,1
Jenel Lausa,0,1,1
Jennifer Maia,3,3,6
Jeremiah Wells,0,2,2
Jeremy Kennedy,1,2,3
Jeremy Kimball,1,1,2
Jeremy Larsen,2,0,2
Jeremy Stephens,9,7,16
Jerome Rivera,4,0,4
Jerrod Sanders,2,1,3
Jesse Butler,1,0,1
Jesse Forbes,1,0,1
Jesse Lennox,2,0,2
Jesse Ronson,4,0,4
Jesse Strader,2,0,2
Jessica Aguilar,3,0,3
Jessica Andrade,1,7,8
Jessica Eye,4,3,7
Jessica Penne,0,1,1
Jessica-Rose Clark,0,2,2
Jessin Ayari,3,0,3
Jesus Aguilar,1,1,2
Jesus Pinedo,1,1,2
Ji Yeon Kim,2,2,4
Jim Alers,1,1,2
Jim Miller,6,2,8
Jim Wallhead,2,0,2
Jimi Manuwa,2,2,4
Jimmie Rivera,1,4,5
Jimmy Crute,2,0,2
Jimmy Flick,1,1,2
Jimmy Quinlan,1,0,1
Jimy Hettes,2,1,3
Jin Soo Son,2,0,2
Jinh Yu Frey,5,1,6
Jiri Prochazka,0,2,2
Joachim Christensen,1,1,2
Joanderson Brito,1,2,3
Joanna Jedrzejczyk,1,2,3
Joanne Wood,3,2,5
Joao Zeferino,1,0,1
Joaquim Silva,2,3,5
Joaquin Buckley,3,3,6
Joby Sanchez,3,1,4
Jocelyn Jones-Lybarger,2,0,2
Jodie Esquibel,4,0,4
Joe Brammer,1,0,1
Joe Doerksen,1,1,2
Joe Duffy,3,1,4
Joe Lauzon,4,2,6
Joe Merritt,1,0,1
Joe Proctor,2,2,4
Joe Pyfer,0,1,1
Joe Riggs,2,0,2
Joe Solecki,1,2,3
Joe Soto,1,2,3
Joe Stevenson,1,0,1
Joel Alvarez,2,3,5
Joey Beltran,4,0,4
Joey Gambino,2,0,2
Joey Gomez,2,0,2
John Albert,2,1,3
John Alessio,1,0,1
John Allan,2,0,2
John Castaneda,1,2,3
John Cholish,2,1,3
John Cofer,2,0,2
John Dodson,2,0,2
John Gunderson,2,0,2
John Gunther,1,0,1
John Hathaway,1,1,2
John Howard,3,2,5
John Lineker,2,5,7
John Maguire,3,1,4
John Makdessi,3,2,5
John Moraga,2,2,4
John Phillips,3,1,4
John Salter,2,1,3
Johnny Bedford,2,1,3
